"NAME" "MANUF" "TYPE" "CALORIES" "PROTEIN" "FAT" "SODIUM" "FIBER" "CARBO" "SUGARS" "POTASS" "VITAMINS" "SHELF" "WEIGHT" "CUPS" "RATING"
"19" "Count_Chocula" "G" "C" 0.545454545454545 0 0.2 0.5625 0 0.541666666666667 0.875 0.199395770392749 0.25 0.5 0.5 0.6 0.0575408856494142
"20" "Cracklin'_Oat_Bran" "K" "C" 0.545454545454545 0.4 0.6 0.4375 0.285714285714286 0.458333333333333 0.5 0.486404833836858 0.25 1 0.5 0.2 0.296131518278361
"21" "Cream_of_Wheat_(Quick)" "N" "H" 0.454545454545455 0.4 0 0.25 0.0714285714285714 0.916666666666667 0.0625 0 0 0.5 0.5 0.6 0.614455440223866
"22" "Crispix" "K" "C" 0.545454545454545 0.2 0 0.6875 0.0714285714285714 0.916666666666667 0.25 0.0936555891238671 0.25 1 0.5 0.6 0.381337656133898
"23" "Crispy_Wheat_&_Raisins" "G" "C" 0.454545454545455 0.2 0.2 0.4375 0.142857142857143 0.5 0.6875 0.365558912386707 0.25 1 0.5 0.4 0.239662319005558
"24" "Double_Chex" "R" "C" 0.454545454545455 0.2 0 0.59375 0.0714285714285714 0.791666666666667 0.375 0.244712990936556 0.25 1 0.5 0.4 0.347439716187483
"25" "Froot_Loops" "K" "C" 0.545454545454545 0.2 0.2 0.390625 0.0714285714285714 0.5 0.875 0.0936555891238671 0.25 0.5 0.5 0.6 0.187210483203729
"26" "Frosted_Flakes" "K" "C" 0.545454545454545 0 0 0.625 0.0714285714285714 0.625 0.75 0.0785498489425982 0.25 0 0.5 0.4 0.177012386696683
"27" "Frosted_Mini-Wheats" "K" "C" 0.454545454545455 0.4 0 0 0.214285714285714 0.625 0.5 0.305135951661631 0.25 0.5 0.5 0.44 0.532661805234198
"28" "Fruit_&_Fibre_Dates,_Walnuts,_and_Oats" "P" "C" 0.636363636363636 0.4 0.4 0.5 0.357142857142857 0.541666666666667 0.6875 0.607250755287009 0.25 1 0.75 0.336 0.302320551379112
"29" "Fruitful_Bran" "K" "C" 0.636363636363636 0.4 0 0.75 0.357142857142857 0.625 0.8125 0.577039274924471 0.25 1 0.83 0.336 0.30362166581743
"30" "Fruity_Pebbles" "P" "C" 0.545454545454545 0 0.2 0.421875 0 0.583333333333333 0.8125 0.0785498489425982 0.25 0.5 0.5 0.4 0.131940815093578
"31" "Golden_Crisp" "P" "C" 0.454545454545455 0.2 0 0.140625 0 0.5 1 0.123867069486405 0.25 0 0.5 0.504 0.227453399663538
"32" "Golden_Grahams" "G" "C" 0.545454545454545 0 0.2 0.875 0 0.666666666666667 0.625 0.138972809667674 0.25 0.5 0.5 0.4 0.0761437360264347
"33" "Grape_Nuts_Flakes" "P" "C" 0.454545454545455 0.4 0.2 0.4375 0.214285714285714 0.666666666666667 0.375 0.259818731117825 0.25 1 0.5 0.504 0.449816533546449
"34" "Grape-Nuts" "P" "C" 0.545454545454545 0.4 0 0.53125 0.214285714285714 0.75 0.25 0.274924471299094 0.25 1 0.5 0 0.46692034994923
"35" "Great_Grains_Pecan" "P" "C" 0.636363636363636 0.4 0.6 0.234375 0.214285714285714 0.583333333333333 0.3125 0.305135951661631 0.25 1 0.5 0.064 0.367011744499003
"36" "Honey_Graham_Ohs" "Q" "C" 0.636363636363636 0 0.4 0.6875 0.0714285714285714 0.541666666666667 0.75 0.138972809667674 0.25 0.5 0.5 0.6 0.0505992164289577
"37" "Honey_Nut_Cheerios" "G" "C" 0.545454545454545 0.4 0.2 0.78125 0.107142857142857 0.520833333333333 0.6875 0.274924471299094 0.25 0 0.5 0.4 0.172204746048353
"38" "Honey-comb" "P" "C" 0.545454545454545 0 0 0.5625 0 0.625 0.75 0.108761329305136 0.25 0 0.5 0.864 0.14141252377463
"39" "Just_Right_Crunchy__Nuggets" "K" "C" 0.545454545454545 0.2 0.2 0.53125 0.0714285714285714 0.75 0.4375 0.18429003021148 1 1 0.5 0.6 0.244254937755396
"40" "Just_Right_Fruit_&_Nut" "K" "C" 0.818181818181818 0.4 0.2 0.53125 0.142857142857143 0.875 0.625 0.290030211480363 1 1 0.8 0.4 0.243565411203906
"41" "Kix" "G" "C" 0.545454545454545 0.2 0.2 0.8125 0 0.916666666666667 0.25 0.123867069486405 0.25 0.5 0.5 1 0.280170308868536
"42" "Life" "Q" "C" 0.454545454545455 0.6 0.4 0.46875 0.142857142857143 0.541666666666667 0.4375 0.290030211480363 0.25 0.5 0.5 0.336 0.360619610930239
"43" "Lucky_Charms" "G" "C" 0.545454545454545 0.2 0.2 0.5625 0 0.541666666666667 0.8125 0.169184290030211 0.25 0.5 0.5 0.6 0.114874798348409
"44" "Maypo" "A" "H" 0.454545454545455 0.6 0.2 0 0 0.708333333333333 0.25 0.290030211480363 0.25 0.5 0.5 0.6 0.486479822430425
"45" "Muesli_Raisins,_Dates,_&_Almonds" "R" "C" 0.909090909090909 0.6 0.6 0.296875 0.214285714285714 0.708333333333333 0.75 0.516616314199396 0.25 1 0.5 0.6 0.252359131480703
"46" "Muesli_Raisins,_Peaches,_&_Pecans" "R" "C" 0.909090909090909 0.6 0.6 0.46875 0.214285714285714 0.708333333333333 0.75 0.516616314199396 0.25 1 0.5 0.6 0.212747495736337
"47" "Mueslix_Crispy_Blend" "K" "C" 1 0.4 0.4 0.46875 0.214285714285714 0.75 0.875 0.486404833836858 0.25 1 1 0.336 0.162175069484295
"48" "Multi-Grain_Cheerios" "G" "C" 0.454545454545455 0.2 0.2 0.6875 0.142857142857143 0.666666666666667 0.4375 0.274924471299094 0.25 0 0.5 0.6 0.291600753513706
"49" "Nut&Honey_Crunch" "K" "C" 0.636363636363636 0.2 0.2 0.59375 0 0.666666666666667 0.625 0.123867069486405 0.25 0.5 0.5 0.336 0.157032915082765
"50" "Nutri-Grain_Almond-Raisin" "K" "C" 0.818181818181818 0.4 0.4 0.6875 0.214285714285714 0.916666666666667 0.5 0.395770392749245 0.25 1 0.83 0.336 0.299350410240609
"51" "Nutri-grain_Wheat" "K" "C" 0.363636363636364 0.4 0 0.53125 0.214285714285714 0.791666666666667 0.1875 0.274924471299094 0.25 1 0.5 0.6 0.549813016592292
"52" "Oatmeal_Raisin_Crisp" "G" "C" 0.727272727272727 0.4 0.4 0.53125 0.107142857142857 0.604166666666667 0.6875 0.365558912386707 0.25 1 0.75 0.2 0.163992254982322
"53" "Post_Nat._Raisin_Bran" "P" "C" 0.636363636363636 0.4 0.2 0.625 0.428571428571429 0.5 0.9375 0.788519637462236 0.25 1 0.83 0.336 0.261660107302655
"54" "Product_19" "K" "C" 0.454545454545455 0.4 0 1 0.0714285714285714 0.875 0.25 0.138972809667674 1 1 0.5 0.6 0.310072032005578
"55" "Puffed_Rice" "Q" "C" 0 0 0 0 0 0.583333333333333 0.0625 0.0483383685800604 0 1 0 0.6 0.564526797650939
"56" "Puffed_Wheat" "Q" "C" 0 0.2 0 0 0.0714285714285714 0.458333333333333 0.0625 0.154078549848943 0 1 0 0.6 0.594258118345468
"57" "Quaker_Oat_Squares" "Q" "C" 0.454545454545455 0.6 0.2 0.421875 0.142857142857143 0.625 0.4375 0.335347432024169 0.25 1 0.5 0.2 0.415915487684112
"58" "Quaker_Oatmeal" "Q" "H" 0.454545454545455 0.8 0.4 0 0.192857142857143 0 0 0.335347432024169 0 0 0.5 0.336 0.433315463082614
"59" "Raisin_Bran" "K" "C" 0.636363636363636 0.4 0.2 0.65625 0.357142857142857 0.625 0.8125 0.72809667673716 0.25 0.5 0.83 0.4 0.280409305794617
"60" "Raisin_Nut_Bran" "G" "C" 0.454545454545455 0.4 0.4 0.4375 0.178571428571429 0.479166666666667 0.5625 0.425981873111782 0.25 1 0.5 0.2 0.286280187371581
"61" "Raisin_Squares" "K" "C" 0.363636363636364 0.2 0 0 0.142857142857143 0.666666666666667 0.4375 0.335347432024169 0.25 1 0.5 0.2 0.492853227987009
"62" "Rice_Chex" "R" "C" 0.545454545454545 0 0 0.75 0 1 0.1875 0.0936555891238671 0.25 0 0.5 0.704 0.316619474587138
"63" "Rice_Krispies" "K" "C" 0.545454545454545 0.2 0 0.90625 0 0.958333333333333 0.25 0.108761329305136 0.25 0 0.5 0.6 0.297603682775704
"64" "Shredded_Wheat" "N" "C" 0.272727272727273 0.2 0 0 0.214285714285714 0.708333333333333 0.0625 0.290030211480363 0 0 0.33 0.6 0.663384440452924
"65" "Shredded_Wheat_'n'Bran" "N" "C" 0.363636363636364 0.4 0 0 0.285714285714286 0.833333333333333 0.0625 0.425981873111782 0 0 0.5 0.336 0.745817616572723
"66" "Shredded_Wheat_spoon_size" "N" "C" 0.363636363636364 0.4 0 0 0.214285714285714 0.875 0.0625 0.365558912386707 0 0 0.5 0.336 0.723730430763709
"67" "Smacks" "K" "C" 0.545454545454545 0.2 0.2 0.21875 0.0714285714285714 0.416666666666667 1 0.123867069486405 0.25 0.5 0.5 0.4 0.1742908245653
"68" "Special_K" "K" "C" 0.545454545454545 1 0 0.71875 0.0714285714285714 0.708333333333333 0.25 0.169184290030211 0.25 0 0.5 0.6 0.463752540391412
"69" "Strawberry_Fruit_Wheats" "N" "C" 0.363636363636364 0.2 0 0.046875 0.214285714285714 0.666666666666667 0.375 0.274924471299094 0.25 0.5 0.5 0.6 0.546127629275126
"70" "Total_Corn_Flakes" "G" "C" 0.545454545454545 0.2 0.2 0.625 0 0.916666666666667 0.25 0.108761329305136 1 1 0.5 0.6 0.274865563072621
"71" "Total_Raisin_Bran" "G" "C" 0.818181818181818 0.4 0.2 0.59375 0.285714285714286 0.666666666666667 0.9375 0.697885196374622 1 1 1 0.6 0.139434927631696
"72" "Total_Whole_Grain" "G" "C" 0.454545454545455 0.4 0.2 0.625 0.214285714285714 0.708333333333333 0.25 0.335347432024169 1 1 0.5 0.6 0.378207950216952
"73" "Triples" "G" "C" 0.545454545454545 0.2 0.2 0.78125 0 0.916666666666667 0.25 0.18429003021148 0.25 1 0.5 0.4 0.278386852295763
"74" "Trix" "G" "C" 0.545454545454545 0 0.2 0.4375 0 0.583333333333333 0.8125 0.0785498489425982 0.25 0.5 0.5 0.6 0.128339750089546
"75" "Wheat_Chex" "R" "C" 0.454545454545455 0.4 0.2 0.71875 0.214285714285714 0.75 0.25 0.350453172205438 0.25 0 0.5 0.336 0.41955761686164
"76" "Wheaties" "G" "C" 0.454545454545455 0.4 0.2 0.625 0.214285714285714 0.75 0.25 0.335347432024169 0.25 0 0.5 0.6 0.443410363881047
"77" "Wheaties_Honey_Gold" "G" "C" 0.545454545454545 0.2 0.2 0.625 0.0714285714285714 0.708333333333333 0.5625 0.18429003021148 0.25 0 0.5 0.4 0.239812499952916
